-2	10	100.1	10	100.1
-1.95	10.8	100.2	10.8	100.2
-1.9	11.6	100.3	11.6	100.3
-1.85	12.4	100.4	12.4	100.4
-1.8	13.2	100.5	13.2	100.5
-1.75	14	100.6	14	100.6
-1.7	14.8	100.7	14.8	100.7
-1.65	15.6	100.8	15.6	100.8
-1.6	16.4	100.9	16.4	100.9
-1.55	17.2	101	17.2	101
-1.5	18	101.1	18	101.1
-1.45	18.8	101.2	18.8	101.2
-1.4	19.6	101.3	19.6	101.3
-1.35	20.4	101.4	20.4	101.4
-1.3	21.2	101.5	21.2	101.5
-1.25	22	101.6	22	101.6
-1.2	22.8	101.7	22.8	101.7
-1.15	23.6	101.8	23.6	101.8
-1.1	24.4	101.9	24.4	101.9
-1.05	25.2	102	25.2	102
-1	26	102.1	26	102.1
-0.95	26.8	102.2	26.8	102.2
-0.9	27.6	102.3	27.6	102.3
-0.85	28.4	102.4	28.4	102.4
-0.8	29.2	102.5	29.2	102.5
-0.75	30	102.6	30	102.6
-0.7	30.8	102.7	30.8	102.7
-0.65	31.6	102.8	31.6	102.8
-0.6	32.4	102.9	32.4	102.9
-0.55	33.2	103	33.2	103
-0.5	34	103.1	34	103.1
-0.45	34.8	103.2	34.8	103.2
-0.4	35.6	103.3	35.6	103.3
-0.35	36.4	103.4	36.4	103.4
-0.3	37.2	103.5	37.2	103.5
-0.25	38	103.6	38	103.6
-0.2	38.8	103.7	38.8	103.7
-0.15	39.6	103.8	39.6	103.8
-0.1	40.4	103.9	40.4	103.9
-0.05	41.2	104	41.2	104
0	42	104.1	42	104.1
0.05	42.8	104.2	42.8	104.2
0.1	43.6	104.3	43.6	104.3
0.15	44.4	104.4	44.4	104.4
0.2	45.2	104.5	45.2	104.5
0.25	46	104.6	46	104.6
0.3	46.8	104.7	46.8	104.7
0.35	47.6	104.8	47.6	104.8
0.4	48.4	104.9	48.4	104.9
0.45	49.2	105	49.2	105
0.5	50	105.1	50	105.1
0.55	50.8	105.2	50.8	105.2
0.6	51.6	105.3	51.6	105.3
0.65	52.4	105.4	52.4	105.4
0.7	53.2	105.5	53.2	105.5
0.75	54	105.6	54	105.6
0.8	54.8	105.7	54.8	105.7
0.85	55.6	105.8	55.6	105.8
0.9	56.4	105.9	56.4	105.9
0.95	57.2	106	57.2	106
1	58	106.1	58	106.1
1.05	58.8	106.2	58.8	106.2
1.1	59.6	106.3	59.6	106.3
1.15	60.4	106.4	60.4	106.4
1.2	61.2	106.5	61.2	106.5
1.25	62	106.6	62	106.6
1.3	62.8	106.7	62.8	106.7
1.35	63.6	106.8	63.6	106.8
1.4	64.4	106.9	64.4	106.9
1.45	65.2	107	65.2	107
1.5	66	107.1	66	107.1
1.55	66.8	107.2	66.8	107.2
1.6	67.6	107.3	67.6	107.3
1.65	68.4	107.4	68.4	107.4
1.7	69.2	107.5	69.2	107.5
1.75	70	107.6	70	107.6
1.8	70.8	107.7	70.8	107.7
1.85	71.6	107.8	71.6	107.8
1.9	72.4	107.9	72.4	107.9
1.95	73.2	108	73.2	108
2	74	108.1	74	108.1
2.05	74.8	108.2	74.8	108.2
2.1	75.6	108.3	75.6	108.3
2.15	76.4	108.4	76.4	108.4
